,Awards,Awards_won,Awards_nominated,Oscar_Awards_won,Golden_Globe_Awards_won,Prime_Emmys_Awards_won,BAFTA_Awards_won,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,Prime_Emmys_Awards_nominated,BAFTA_Awards_nominated
643,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,21,74,0,0,0,0,0,2,0,0
655,1 nomination.,0,1,0,0,0,0,0,0,0,0
657,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
660,1 win.,1,0,0,0,0,0,0,0,0,0
662,1 win.,1,0,0,0,0,0,0,0,0,0
667,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
668,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
669,1 win.,1,0,0,0,0,0,0,0,0,0
670,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
676,1 nomination.,0,1,0,0,0,0,0,0,0,0
680,1 nomination.,0,1,0,0,0,0,0,0,0,0
681,8 wins & 10 nominations.,8,10,0,0,0,0,0,0,0,0
683,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
690,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
692,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
693,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
697,1 nomination.,0,1,0,0,0,0,0,0,0,0
699,6 wins & 2 nominations.,6,2,0,0,0,0,0,0,0,0
708,1 nomination.,0,1,0,0,0,0,0,0,0,0
709,1 nomination.,0,1,0,0,0,0,0,0,0,0
710,3 nominations.,0,3,0,0,0,0,0,0,0,0
714,14 wins & 17 nominations.,14,17,0,0,0,0,0,0,0,0
716,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
717,2 nominations.,0,2,0,0,0,0,0,0,0,0
740,1 nomination.,0,1,0,0,0,0,0,0,0,0
764,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
765,1 win.,1,0,0,0,0,0,0,0,0,0
776,1 win.,1,0,0,0,0,0,0,0,0,0
782,1 nomination.,0,1,0,0,0,0,0,0,0,0
783,1 nomination.,0,1,0,0,0,0,0,0,0,0
794,13 wins & 7 nominations.,13,7,0,0,0,0,0,0,0,0
810,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
816,1 win.,1,0,0,0,0,0,0,0,0,0
829,1 nomination.,0,1,0,0,0,0,0,0,0,0
835,3 nominations.,0,3,0,0,0,0,0,0,0,0
837,3 nominations.,0,3,0,0,0,0,0,0,0,0
840,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
846,2 wins.,2,0,0,0,0,0,0,0,0,0
867,1 nomination.,0,1,0,0,0,0,0,0,0,0
868,1 win.,1,0,0,0,0,0,0,0,0,0
871,2 nominations.,0,2,0,0,0,0,0,0,0,0
874,1 win & 15 nominations.,1,15,0,0,0,0,0,0,0,0
877,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
891,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
892,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
896,1 nomination.,0,1,0,0,0,0,0,0,0,0
899,5 nominations.,0,5,0,0,0,0,0,0,0,0
914,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
915,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0
916,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
924,1 win.,1,0,0,0,0,0,0,0,0,0
934,1 nomination.,0,1,0,0,0,0,0,0,0,0
947,1 win.,1,0,0,0,0,0,0,0,0,0
983,1 nomination.,0,1,0,0,0,0,0,0,0,0
990,4 nominations.,0,4,0,0,0,0,0,0,0,0
992,1 nomination.,0,1,0,0,0,0,0,0,0,0
1000,1 nomination.,0,1,0,0,0,0,0,0,0,0
1027,1 nomination.,0,1,0,0,0,0,0,0,0,0
1030,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1040,1 win.,1,0,0,0,0,0,0,0,0,0
1071,1 nomination.,0,1,0,0,0,0,0,0,0,0
1115,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
1180,1 win.,1,0,0,0,0,0,0,0,0,0
1201,Nominated for 1 Oscar. Another 25 wins & 51 nominations.,25,52,0,0,0,0,1,0,0,0
1202,1 nomination.,0,1,0,0,0,0,0,0,0,0
1204,8 wins & 20 nominations.,8,20,0,0,0,0,0,0,0,0
1205,2 nominations.,0,2,0,0,0,0,0,0,0,0
1207,4 nominations.,0,4,0,0,0,0,0,0,0,0
1208,5 wins & 12 nominations.,5,12,0,0,0,0,0,0,0,0
1209,3 wins.,3,0,0,0,0,0,0,0,0,0
1212,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
1213,7 wins & 5 nominations.,7,5,0,0,0,0,0,0,0,0
1214,4 nominations.,0,4,0,0,0,0,0,0,0,0
1217,2 nominations.,0,2,0,0,0,0,0,0,0,0
1219,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
1220,1 win & 14 nominations.,1,14,0,0,0,0,0,0,0,0
1221,Nominated for 3 Oscars. Another 13 wins & 40 nominations.,13,43,0,0,0,0,3,0,0,0
1230,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
1231,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1233,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
1234,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
1235,1 nomination.,0,1,0,0,0,0,0,0,0,0
1238,8 wins & 17 nominations.,8,17,0,0,0,0,0,0,0,0
1239,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
1240,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1241,4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,0
1242,5 wins.,5,0,0,0,0,0,0,0,0,0
1243,27 wins & 31 nominations.,27,31,0,0,0,0,0,0,0,0
1244,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
1245,1 nomination.,0,1,0,0,0,0,0,0,0,0
1246,3 wins.,3,0,0,0,0,0,0,0,0,0
1257,4 wins.,4,0,0,0,0,0,0,0,0,0
1261,4 nominations.,0,4,0,0,0,0,0,0,0,0
1266,5 wins.,5,0,0,0,0,0,0,0,0,0
1267,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
1268,3 wins.,3,0,0,0,0,0,0,0,0,0
1269,1 nomination.,0,1,0,0,0,0,0,0,0,0
1272,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1274,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,11,25,0,0,0,0,1,0,0,0
1275,1 win.,1,0,0,0,0,0,0,0,0,0
1279,3 nominations.,0,3,0,0,0,0,0,0,0,0
1299,1 nomination.,0,1,0,0,0,0,0,0,0,0
1300,1 nomination.,0,1,0,0,0,0,0,0,0,0
1301,21 nominations.,0,21,0,0,0,0,0,0,0,0
1304,4 nominations.,0,4,0,0,0,0,0,0,0,0
1305,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
1316,1 win.,1,0,0,0,0,0,0,0,0,0
1324,7 wins & 9 nominations.,7,9,0,0,0,0,0,0,0,0
1327,1 win.,1,0,0,0,0,0,0,0,0,0
1330,3 wins & 32 nominations.,3,32,0,0,0,0,0,0,0,0
1332,1 win.,1,0,0,0,0,0,0,0,0,0
1337,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
1339,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0,0
1342,2 wins.,2,0,0,0,0,0,0,0,0,0
1351,4 nominations.,0,4,0,0,0,0,0,0,0,0
1354,1 win.,1,0,0,0,0,0,0,0,0,0
1356,2 wins.,2,0,0,0,0,0,0,0,0,0
1358,2 nominations.,0,2,0,0,0,0,0,0,0,0
1360,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
1364,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
1366,2 nominations.,0,2,0,0,0,0,0,0,0,0
1367,1 win.,1,0,0,0,0,0,0,0,0,0
1370,2 nominations.,0,2,0,0,0,0,0,0,0,0
1384,1 nomination.,0,1,0,0,0,0,0,0,0,0
1386,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1398,Won 6 Golden Globes. Another 80 wins & 310 nominations.,86,310,0,6,0,0,0,0,0,0
1407,18 wins & 7 nominations.,18,7,0,0,0,0,0,0,0,0
1409,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1413,Nominated for 3 Golden Globes. Another 3 wins & 23 nominations.,3,26,0,0,0,0,0,3,0,0
1415,1 nomination.,0,1,0,0,0,0,0,0,0,0
1424,1 win.,1,0,0,0,0,0,0,0,0,0
1425,3 wins.,3,0,0,0,0,0,0,0,0,0
1428,5 wins & 25 nominations.,5,25,0,0,0,0,0,0,0,0
1455,3 wins.,3,0,0,0,0,0,0,0,0,0
1458,1 nomination.,0,1,0,0,0,0,0,0,0,0
1465,1 nomination.,0,1,0,0,0,0,0,0,0,0
1473,1 nomination.,0,1,0,0,0,0,0,0,0,0
1482,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1499,11 wins.,11,0,0,0,0,0,0,0,0,0
1502,1 nomination.,0,1,0,0,0,0,0,0,0,0
1505,2 nominations.,0,2,0,0,0,0,0,0,0,0
1514,1 nomination.,0,1,0,0,0,0,0,0,0,0
1518,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
1519,2 wins.,2,0,0,0,0,0,0,0,0,0
1548,1 nomination.,0,1,0,0,0,0,0,0,0,0
1551,1 nomination.,0,1,0,0,0,0,0,0,0,0
1559,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1575,3 nominations.,0,3,0,0,0,0,0,0,0,0
1576,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
1584,2 wins.,2,0,0,0,0,0,0,0,0,0
1586,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0
1591,1 win.,1,0,0,0,0,0,0,0,0,0
1594,5 wins & 9 nominations.,5,9,0,0,0,0,0,0,0,0
1595,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0,0
1606,1 win.,1,0,0,0,0,0,0,0,0,0
1609,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0,0
1620,4 nominations.,0,4,0,0,0,0,0,0,0,0
1621,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
1623,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1646,1 win.,1,0,0,0,0,0,0,0,0,0
1661,1 win.,1,0,0,0,0,0,0,0,0,0
1672,4 wins.,4,0,0,0,0,0,0,0,0,0
1706,1 nomination.,0,1,0,0,0,0,0,0,0,0
1746,1 win.,1,0,0,0,0,0,0,0,0,0
1753,1 nomination.,0,1,0,0,0,0,0,0,0,0
1804,2 nominations.,0,2,0,0,0,0,0,0,0,0
1898,36 wins & 20 nominations.,36,20,0,0,0,0,0,0,0,0
1940,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1941,12 nominations.,0,12,0,0,0,0,0,0,0,0
1943,1 win.,1,0,0,0,0,0,0,0,0,0
1944,3 nominations.,0,3,0,0,0,0,0,0,0,0
1945,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
1947,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
1948,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
1949,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1952,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
1956,1 win.,1,0,0,0,0,0,0,0,0,0
1957,2 wins & 19 nominations.,2,19,0,0,0,0,0,0,0,0
1958,4 nominations.,0,4,0,0,0,0,0,0,0,0
1959,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,23,101,0,0,0,0,2,0,0,0
1960,1 nomination.,0,1,0,0,0,0,0,0,0,0
1961,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
1965,1 win.,1,0,0,0,0,0,0,0,0,0
1966,1 win.,1,0,0,0,0,0,0,0,0,0
1971,10 wins & 24 nominations.,10,24,0,0,0,0,0,0,0,0
1972,1 nomination.,0,1,0,0,0,0,0,0,0,0
1977,26 wins & 18 nominations.,26,18,0,0,0,0,0,0,0,0
1979,1 nomination.,0,1,0,0,0,0,0,0,0,0
1980,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
1983,2 nominations.,0,2,0,0,0,0,0,0,0,0
1987,Nominated for 5 Oscars. Another 26 wins & 88 nominations.,26,93,0,0,0,0,5,0,0,0
1988,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
1990,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
1991,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1994,3 nominations.,0,3,0,0,0,0,0,0,0,0
2007,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
2008,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2010,1 nomination.,0,1,0,0,0,0,0,0,0,0
2011,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,2,5,0,0,0,0,1,0,0,0
2012,1 win.,1,0,0,0,0,0,0,0,0,0
2025,5 nominations.,0,5,0,0,0,0,0,0,0,0
2030,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
2031,1 nomination.,0,1,0,0,0,0,0,0,0,0
2032,4 nominations.,0,4,0,0,0,0,0,0,0,0
2045,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
2047,1 nomination.,0,1,0,0,0,0,0,0,0,0
2050,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
2055,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2079,2 wins.,2,0,0,0,0,0,0,0,0,0
2081,1 nomination.,0,1,0,0,0,0,0,0,0,0
2082,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
2085,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
2086,1 nomination.,0,1,0,0,0,0,0,0,0,0
2101,Nominated for 1 Oscar. Another 2 wins & 14 nominations.,2,15,0,0,0,0,1,0,0,0
2104,28 wins & 16 nominations.,28,16,0,0,0,0,0,0,0,0
2109,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2116,1 win.,1,0,0,0,0,0,0,0,0,0
2119,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
2125,Won 1 Golden Globe. Another 10 wins & 57 nominations.,11,57,0,1,0,0,0,0,0,0
2145,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
2153,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2155,1 win.,1,0,0,0,0,0,0,0,0,0
2166,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
2169,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
2172,1 win.,1,0,0,0,0,0,0,0,0,0
2173,2 wins.,2,0,0,0,0,0,0,0,0,0
2174,1 win.,1,0,0,0,0,0,0,0,0,0
2182,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
2185,1 nomination.,0,1,0,0,0,0,0,0,0,0
2189,2 nominations.,0,2,0,0,0,0,0,0,0,0
2193,3 wins.,3,0,0,0,0,0,0,0,0,0
2194,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
2203,3 wins.,3,0,0,0,0,0,0,0,0,0
2213,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
2228,2 wins & 17 nominations.,2,17,0,0,0,0,0,0,0,0
2238,1 win.,1,0,0,0,0,0,0,0,0,0
2242,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
2248,1 win.,1,0,0,0,0,0,0,0,0,0
2252,1 nomination.,0,1,0,0,0,0,0,0,0,0
2254,1 nomination.,0,1,0,0,0,0,0,0,0,0
2257,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
2262,26 wins & 24 nominations.,26,24,0,0,0,0,0,0,0,0
2273,1 win.,1,0,0,0,0,0,0,0,0,0
2285,1 win.,1,0,0,0,0,0,0,0,0,0
2287,2 nominations.,0,2,0,0,0,0,0,0,0,0
2288,1 nomination.,0,1,0,0,0,0,0,0,0,0
2296,1 win.,1,0,0,0,0,0,0,0,0,0
2305,1 win.,1,0,0,0,0,0,0,0,0,0
2322,1 win.,1,0,0,0,0,0,0,0,0,0
2337,Won 1 Primetime Emmy. Another 3 wins & 3 nominations.,4,3,0,0,1,0,0,0,0,0
2338,2 wins.,2,0,0,0,0,0,0,0,0,0
2339,1 win.,1,0,0,0,0,0,0,0,0,0
2347,2 nominations.,0,2,0,0,0,0,0,0,0,0
2348,2 wins.,2,0,0,0,0,0,0,0,0,0
2351,3 nominations.,0,3,0,0,0,0,0,0,0,0
2367,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,5,2,0,0,0,0,1,0,0,0
2392,Nominated for 1 Oscar. Another 1 win.,1,1,0,0,0,0,1,0,0,0
2407,2 nominations.,0,2,0,0,0,0,0,0,0,0
2426,2 wins.,2,0,0,0,0,0,0,0,0,0
2430,1 win.,1,0,0,0,0,0,0,0,0,0
2436,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2440,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
2445,3 wins.,3,0,0,0,0,0,0,0,0,0
2459,2 wins.,2,0,0,0,0,0,0,0,0,0
2469,1 nomination.,0,1,0,0,0,0,0,0,0,0
2480,1 nomination.,0,1,0,0,0,0,0,0,0,0
2488,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
2509,1 nomination.,0,1,0,0,0,0,0,0,0,0
2543,1 nomination.,0,1,0,0,0,0,0,0,0,0
2545,5 nominations.,0,5,0,0,0,0,0,0,0,0
2572,1 win.,1,0,0,0,0,0,0,0,0,0
2596,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
2669,1 nomination.,0,1,0,0,0,0,0,0,0,0
2723,Won 6 Oscars. Another 48 wins & 28 nominations.,54,28,6,0,0,0,0,0,0,0
2724,12 wins & 20 nominations.,12,20,0,0,0,0,0,0,0,0
2726,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
2727,2 nominations.,0,2,0,0,0,0,0,0,0,0
2729,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,1,6,0,0,0,0,0,2,0,0
2730,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0,0
2731,Nominated for 4 Oscars. Another 28 wins & 116 nominations.,28,120,0,0,0,0,4,0,0,0
2733,Won 1 Oscar. Another 7 wins & 29 nominations.,8,29,1,0,0,0,0,0,0,0
2735,Nominated for 2 Oscars. Another 25 wins & 58 nominations.,25,60,0,0,0,0,2,0,0,0
2739,1 win.,1,0,0,0,0,0,0,0,0,0
2740,2 nominations.,0,2,0,0,0,0,0,0,0,0
2742,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2744,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
2746,6 wins & 10 nominations.,6,10,0,0,0,0,0,0,0,0
2748,Won 1 Golden Globe. Another 5 wins & 17 nominations.,6,17,0,1,0,0,0,0,0,0
2749,1 nomination.,0,1,0,0,0,0,0,0,0,0
2752,2 wins.,2,0,0,0,0,0,0,0,0,0
2755,1 win.,1,0,0,0,0,0,0,0,0,0
2756,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
2757,1 nomination.,0,1,0,0,0,0,0,0,0,0
2758,1 win.,1,0,0,0,0,0,0,0,0,0
2763,Nominated for 3 Golden Globes. Another 1 win & 25 nominations.,1,28,0,0,0,0,0,3,0,0
2764,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
2765,3 wins.,3,0,0,0,0,0,0,0,0,0
2770,1 nomination.,0,1,0,0,0,0,0,0,0,0
2773,2 nominations.,0,2,0,0,0,0,0,0,0,0
2774,5 wins & 1 nomination.,5,1,0,0,0,0,0,0,0,0
2775,1 win.,1,0,0,0,0,0,0,0,0,0
2779,7 nominations.,0,7,0,0,0,0,0,0,0,0
2780,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
2789,1 win.,1,0,0,0,0,0,0,0,0,0
2795,2 nominations.,0,2,0,0,0,0,0,0,0,0
2796,2 nominations.,0,2,0,0,0,0,0,0,0,0
2814,1 nomination.,0,1,0,0,0,0,0,0,0,0
2816,4 nominations.,0,4,0,0,0,0,0,0,0,0
2818,Nominated for 1 Primetime Emmy. Another 4 wins & 17 nominations.,4,18,0,0,0,0,0,0,1,0
2819,1 nomination.,0,1,0,0,0,0,0,0,0,0
2822,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
2824,1 nomination.,0,1,0,0,0,0,0,0,0,0
2827,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2830,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
2845,1 nomination.,0,1,0,0,0,0,0,0,0,0
2846,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2847,3 wins & 10 nominations.,3,10,0,0,0,0,0,0,0,0
2861,Nominated for 2 Primetime Emmys. Another 8 wins & 14 nominations.,8,16,0,0,0,0,0,0,2,0
2864,1 win.,1,0,0,0,0,0,0,0,0,0
2870,1 nomination.,0,1,0,0,0,0,0,0,0,0
2872,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
2880,1 win.,1,0,0,0,0,0,0,0,0,0
2883,3 nominations.,0,3,0,0,0,0,0,0,0,0
2893,1 nomination.,0,1,0,0,0,0,0,0,0,0
2912,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
2945,7 wins & 8 nominations.,7,8,0,0,0,0,0,0,0,0
2947,1 nomination.,0,1,0,0,0,0,0,0,0,0
2954,1 win.,1,0,0,0,0,0,0,0,0,0
2964,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
2968,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
2976,1 nomination.,0,1,0,0,0,0,0,0,0,0
2983,1 nomination.,0,1,0,0,0,0,0,0,0,0
2987,1 win.,1,0,0,0,0,0,0,0,0,0
2991,11 wins & 6 nominations.,11,6,0,0,0,0,0,0,0,0
2992,1 win.,1,0,0,0,0,0,0,0,0,0
2999,1 nomination.,0,1,0,0,0,0,0,0,0,0
3010,1 nomination.,0,1,0,0,0,0,0,0,0,0
3016,8 wins & 17 nominations.,8,17,0,0,0,0,0,0,0,0
3039,1 win.,1,0,0,0,0,0,0,0,0,0
3042,4 nominations.,0,4,0,0,0,0,0,0,0,0
3049,1 win & 12 nominations.,1,12,0,0,0,0,0,0,0,0
3052,1 nomination.,0,1,0,0,0,0,0,0,0,0
3058,6 nominations.,0,6,0,0,0,0,0,0,0,0
3094,9 nominations.,0,9,0,0,0,0,0,0,0,0
3096,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3110,1 nomination.,0,1,0,0,0,0,0,0,0,0
3112,1 nomination.,0,1,0,0,0,0,0,0,0,0
3114,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,1,3,0,0,0,0,0,0,1,0
3115,3 nominations.,0,3,0,0,0,0,0,0,0,0
3123,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3132,1 nomination.,0,1,0,0,0,0,0,0,0,0
3178,5 wins & 11 nominations.,5,11,0,0,0,0,0,0,0,0
3189,3 wins & 11 nominations.,3,11,0,0,0,0,0,0,0,0
3195,4 wins & 7 nominations.,4,7,0,0,0,0,0,0,0,0
3213,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3217,1 nomination.,0,1,0,0,0,0,0,0,0,0
3222,6 wins & 11 nominations.,6,11,0,0,0,0,0,0,0,0
3223,1 win.,1,0,0,0,0,0,0,0,0,0
3229,1 win.,1,0,0,0,0,0,0,0,0,0
3238,1 nomination.,0,1,0,0,0,0,0,0,0,0
3239,1 nomination.,0,1,0,0,0,0,0,0,0,0
3248,4 wins.,4,0,0,0,0,0,0,0,0,0
3260,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
3268,5 nominations.,0,5,0,0,0,0,0,0,0,0
3278,1 nomination.,0,1,0,0,0,0,0,0,0,0
3281,1 nomination.,0,1,0,0,0,0,0,0,0,0
3284,1 win.,1,0,0,0,0,0,0,0,0,0
3317,4 nominations.,0,4,0,0,0,0,0,0,0,0
3321,1 win.,1,0,0,0,0,0,0,0,0,0
3326,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
3341,1 nomination.,0,1,0,0,0,0,0,0,0,0
3369,1 win.,1,0,0,0,0,0,0,0,0,0
3393,1 nomination.,0,1,0,0,0,0,0,0,0,0
3417,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3462,2 wins.,2,0,0,0,0,0,0,0,0,0
3484,3 nominations.,0,3,0,0,0,0,0,0,0,0
3536,1 nomination.,0,1,0,0,0,0,0,0,0,0
3538,4 nominations.,0,4,0,0,0,0,0,0,0,0
3539,5 nominations.,0,5,0,0,0,0,0,0,0,0
3542,1 nomination.,0,1,0,0,0,0,0,0,0,0
3584,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
3585,Nominated for 1 Oscar. Another 7 wins & 42 nominations.,7,43,0,0,0,0,1,0,0,0
3586,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,34,76,0,0,0,0,1,0,0,0
3588,Won 3 Oscars. Another 92 wins & 150 nominations.,95,150,3,0,0,0,0,0,0,0
3589,1 win.,1,0,0,0,0,0,0,0,0,0
3591,Nominated for 3 Oscars. Another 46 wins & 87 nominations.,46,90,0,0,0,0,3,0,0,0
3593,1 nomination.,0,1,0,0,0,0,0,0,0,0
3594,20 wins & 35 nominations.,20,35,0,0,0,0,0,0,0,0
3595,11 wins & 21 nominations.,11,21,0,0,0,0,0,0,0,0
3596,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
3597,Nominated for 3 Oscars. Another 34 wins & 88 nominations.,34,91,0,0,0,0,3,0,0,0
3598,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
3599,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
3600,22 wins & 68 nominations.,22,68,0,0,0,0,0,0,0,0
3601,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
3604,32 wins & 86 nominations.,32,86,0,0,0,0,0,0,0,0
3605,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
3606,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
3607,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
3608,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3610,8 wins & 19 nominations.,8,19,0,0,0,0,0,0,0,0
3611,1 win & 12 nominations.,1,12,0,0,0,0,0,0,0,0
3612,1 nomination.,0,1,0,0,0,0,0,0,0,0
3614,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
3615,Nominated for 1 Oscar. Another 13 wins & 26 nominations.,13,27,0,0,0,0,1,0,0,0
3617,11 wins & 62 nominations.,11,62,0,0,0,0,0,0,0,0
3618,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
3623,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3624,1 win.,1,0,0,0,0,0,0,0,0,0
3625,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3627,2 nominations.,0,2,0,0,0,0,0,0,0,0
3629,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
3631,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3632,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
3633,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
3634,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
